Rk,Player,G,Att,Ru Yds,Ru Avg,Ru TD,Rec,Re Yds,Re Avg,Re TD,Total Plays,Total Yds,Yds Avg,TD
1,Hassan Haskins,14,270,1327,4.9,20,18,131,7.3,0,288,1458,5.1,20
2,Blake Corum,12,144,949,6.6,11,24,141,5.9,1,168,1090,6.5,12
3,Cade McNamara,14,37,26,0.7,1,,,,,37,26,0.7,1
4,Donovan Edwards,11,35,174,5,3,20,265,13.3,1,55,439,8,4
5,J.J. McCarthy,11,27,124,4.6,2,,,,,27,124,4.6,2
6,A.J Henning,14,9,162,18,2,10,79,7.9,0,19,241,12.7,2
7,Dan Villari,4,9,35,3.9,0,,,,,9,35,3.9,0
8,Leon Franklin,5,8,33,4.1,0,,,,,8,33,4.1,0
9,Tavierre Dunlap,2,7,51,7.3,0,,,,,7,51,7.3,0
10,Issiah Gash,2,6,17,2.8,0,,,,,6,17,2.8,0
11,Roman Wilson,12,3,59,19.7,0,25,420,16.8,3,28,479,17.1,3
12,Cornelius Johnson,14,3,30,10,0,40,627,15.7,3,43,657,15.3,3
13,Christian Bolvin,2,2,4,2,0,,,,,2,4,2,0
14,Mike Sainristil,14,1,7,7,0,21,305,14.5,2,22,312,14.2,2
15,Andrel Anthony,8,1,6,6,0,12,248,20.7,3,13,254,19.5,3
16,Danny Hughes,2,1,5,5,0,1,3,3,0,2,8,4,0
17,Brad Robbins,13,1,5,5,0,,,,,1,5,5,0
18,Michael Barrett,12,1,3,3,0,,,,,1,3,3,0
19,Erick All,12,,,,,38,437,11.5,2,38,437,11.5,2
20,Daylen Baldwin,7,,,,,17,256,15.1,2,17,256,15.1,2
21,Luke Schoonmaker,9,,,,,17,165,9.7,3,17,165,9.7,3
22,Ronnie Bell,1,,,,,1,76,76,1,1,76,76,1
23,Will Rolapp,1,,,,,1,26,26,0,1,26,26,0
24,Joel Honigford,1,,,,,1,10,10,0,1,10,10,0
25,Cristian Dixon,1,,,,,1,7,7,0,1,7,7,0
26,Carter Selzer,2,,,,,1,6,6,0,1,6,6,0